checksum,derivedNs.amortizedInitializationPlusOperationsPerOp,derivedNs.remainingPerOperation,external.processWallNs,fixtureBytes,fixtureHash,heapUsedBytes.afterAllOperations,heapUsedBytes.afterFirstOperation,heapUsedBytes.afterFixture,heapUsedBytes.afterInitialization,heapUsedBytes.beforeFixture,javaHome,javaVendor,javaVmName,jvmVersion,library,loadedClassDelta.firstOperation,loadedClassDelta.fixturePreparation,loadedClassDelta.libraryInitialization,loadedClassDelta.remainingOperations,loadedClassesAfter.allOperations,loadedClassesAfter.firstOperation,loadedClassesAfter.fixture,loadedClassesAfter.initialization,operation,operationCount,pid,sample.planIndex,sample.randomizationSeed,sample.repetition,schemaVersion,threadAllocatedBytes.firstOperation,threadAllocatedBytes.fixturePreparation,threadAllocatedBytes.libraryInitialization,threadAllocatedBytes.remainingOperations,threadAllocatedBytes.supported,timingNs.firstOperation,timingNs.fixturePreparation,timingNs.initializationPlusOperations,timingNs.libraryInitialization,timingNs.mainEntryToFixtureStart,timingNs.operationsTotal,timingNs.remainingOperations
2185675431948801,1.30125338E7,300801.55555555556,878753645,2142,-959204706,13928736,12951752,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,522,80,635,58,2213,2155,998,1633,deserialize,10,150734,0,20260812,0,1,5165288,1792272,8435808,38816,true,47620760,12121469,130125338,79797364,18570715,50327974,2707214
-1473038263736110079,236173.33,96049.73737373737,91003490,2142,-959204706,10148624,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,0,1077,1077,998,1014,deserialize,100,150779,1,20260812,0,1,863600,1791024,280792,850936,true,10738492,13911728,23617333,3369917,19678401,20247416,9508924
-1473038263736110079,594776.51,170178.22222222222,130430024,2142,-959204706,13496288,10242624,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,27,1419,1392,998,1195,deserialize,100,150803,2,20260812,0,1,1831080,1792272,1273568,1934040,true,26430529,12839338,59477651,16199478,20170391,43278173,16847644
2173,3.9806793E7,,106087787,2142,-959204706,10290840,10290840,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,,1393,1393,998,1195,serialize,1,150827,3,20260812,0,1,1854848,1792272,1273568,,true,23919857,12489094,39806793,15886936,19363024,23919857,0
-7711186731443673343,192986.92,62530.56565656565,88994378,2142,-959204706,9080312,8362480,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,0,1083,1083,998,1014,serialize,100,150849,4,20260812,0,1,1037744,1791024,280792,303736,true,10072051,12444150,19298692,3036115,20606277,16262577,6190526
2185675431948801,4421528.5,243395.0,107350046,2142,-959204706,11316176,10242624,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,0,1392,1392,998,1195,deserialize,10,150873,5,20260812,0,1,1831080,1792272,1273568,96696,true,25652326,12294086,44215285,16372404,17895316,27842881,2190555
59341087977409921,1.25652363E7,258187.55555555556,836378902,2142,-959204706,11222208,10484632,7736064,16353192,6115432,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,398,80,635,57,2088,2031,998,1633,serialize,10,150894,6,20260812,0,1,4601224,1792272,8435808,21600,true,46263432,11552773,125652363,77065243,19110997,48587120,2323688
2173,1.14237729E8,,176219678,2142,-959204706,6131288,6131288,7436096,18147352,5568176,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,282,80,601,,1881,1881,998,1599,serialize,1,150939,7,20260812,0,1,3464160,1792272,10592768,,true,45359812,11166312,114237729,68877917,17840844,45359812,0
81,1.2668215E7,,74654600,2142,-959204706,8359384,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,,1077,1077,998,1014,deserialize,1,150961,8,20260812,0,1,863600,1791024,280792,,true,9642509,12090671,12668215,3025706,18064137,9642509,0
59341087977409921,1354408.1,164710.66666666666,75812301,2142,-959204706,8722464,8362480,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,0,1083,1083,998,1014,serialize,10,150983,9,20260812,0,1,1037744,1791024,280792,28456,true,9292315,12237389,13544081,2769370,17853578,10774711,1482396
