Test,1kb (x1),10kb (x10),100kb (x100),1000kb (x1000)
avajejsonb/databind,2370816.986,1564734.6900000002,1555793.9000000001,1564893.0
avajejsonb_jackson/databind,1866057.443,1379318.73,1379094.7,1414309.0
djomo/databind,5154002.659,5752059.06,5535524.3,5054022.0
dsljson/databind,6427266.965,6943328.55,6779452.6,6503366.0
dsljson_reflection/databind,4457658.262,4614887.640000001,4351982.899999999,3609431.0
fastjson/databind,10124141.69,10073766.55,9715309.7,9059189.0
fastjson_features/databind,10709360.655,10264808.76,9751598.200000001,9008276.0
flexjson/databind,483072.526,501348.58,488559.5,439821.0
foryjson/databind,12482566.232,11050161.7,10547023.7,9929365.0
genson/databind,1081695.511,1102440.01,1263764.0,1265745.0
gson/databind,1116063.559,1149194.82,1163883.4000000001,1163390.0
jackson/databind,1514554.298,1072991.28,1027130.8999999999,1073713.0
jackson_afterburner/databind,1602801.276,1075404.46,1097527.8,1131009.0
jackson_blackbird/databind,1617447.637,1086135.06,1071958.2,1126044.0
jodd/databind,1176950.356,942671.48,938285.7,901600.0
jsonio/databind,250286.407,186376.72999999998,193443.6,196940.0
kotlinx_serialization/databind,1560118.94,1160965.8800000001,1200071.3,1203717.0
logansquare/databind,1187177.222,1213818.75,1272783.5999999999,1277592.0
moshi/databind,1492667.431,1012523.1900000001,1080912.6,1091902.0
wast/databind,9734410.157,8402599.93,9401984.299999999,8869966.0
