Test,1kb (x1),10kb (x10),100kb (x100),1000kb (x1000)
avajejsonb/databind,5399658.817,4889523.140000001,4395675.0,4683119.0
avajejsonb_jackson/databind,4787452.443,4584597.74,4294292.2,4370977.0
djomo/databind,6286814.86,6461339.46,5661480.9,5831138.0
dsljson/databind,10634922.32,10756560.27,9936365.700000001,9661007.0
dsljson_reflection/databind,4771545.681,4827957.2700000005,5748621.8,6115343.0
fastjson/databind,15595792.736,17660934.66,18188003.400000002,15659974.0
fastjson_features/databind,14928934.852,18125710.830000002,17832929.4,15838963.0
flexjson/databind,4298.722,13961.6,45378.4,142824.0
foryjson/databind,20425357.806,25956562.27,25606998.0,21355643.0
genson/databind,2652156.219,3461705.97,3358203.9,3464007.0
gson/databind,2902107.255,2850832.39,2451425.7,2775362.0
jackson/databind,3779175.849,3358093.7699999996,3121739.7,3095817.0
jackson_afterburner/databind,4100151.981,3426542.7,3208873.3,3195618.0
jackson_blackbird/databind,3955351.343,3469410.5300000003,3411013.1,3141819.0
jodd/databind,1154463.4,1166027.99,1082281.7,925955.0
jsonio/databind,729860.015,2178210.0700000003,2208722.6999999997,1843731.0
kotlinx_serialization/databind,3246760.415,4585992.93,3608481.0,3110311.0
logansquare/databind,4869336.881,4366670.2,4243291.7,3986551.0
moshi/databind,2316531.517,2177622.3499999996,2058047.2000000002,2134553.0
wast/databind,23108432.051,24246560.44,24832368.2,19648465.0
