Test,1kb (x1),10kb (x10),100kb (x100),1000kb (x1000)
antons/stream,1320173.217,1421676.15,1453983.2,1387668.0
avajejsonb/databind,5620844.983,6002752.029999999,5873029.9,5881461.0
avajejsonb_jackson/databind,3456887.071,4214829.34,4140569.7,4140562.0
djomo/databind,5508216.942,6070735.49,6007122.600000001,6104887.0
dsljson/databind,5859181.697,6747307.850000001,6261168.5,6026845.0
dsljson_reflection/databind,4210442.854,4856187.25,4215019.5,4038546.0
fastjson/databind,7118450.731,8341616.74,8459707.3,8049468.0
fastjson_features/databind,7292667.195,8341207.539999999,8333520.9,8104212.0
flexjson/databind,560570.893,770453.8800000001,729780.6,612401.0
foryjson/databind,7849507.028,8465335.06,8455181.1,8228242.0
genson/databind,1492651.555,3358390.25,3602328.0,3346411.0
genson/stream,1520473.924,3799128.07,4104190.2,4072707.0
gson/databind,1485481.371,2964959.7800000003,3014957.2,2976947.0
gson/stream,1611391.251,3233385.44,3008631.1,3297891.0
jackson/databind,3090252.067,3688811.2199999997,3709476.0999999996,3729560.0
jackson/stream,3601606.638,4459208.54,4339770.8,4283711.0
jackson_afterburner/databind,3572896.971,4244368.2,4355550.0,4423442.0
jackson_blackbird/databind,3297680.318,4314160.45,4256470.3,4136544.0
jakartajson/stream,32666.944,273483.8,931715.5000000001,1429293.0
jodd/databind,1998782.53,2321953.21,2363148.4,2323673.0
johnzon/databind,1101801.868,1415073.8399999999,1221916.5,840229.0
jsonio/databind,326030.047,286849.05,302693.60000000003,269985.0
jsonio/stream,976519.811,3087060.9299999997,2736497.4,2375218.0
jsonsimple/stream,448173.227,1110432.47,1188798.5,1086450.0
jsonsmart/databind,3226326.757,3875047.93,3685271.1,3837363.0
kotlinx_serialization/databind,2673119.919,3097762.78,2060172.0,3032179.0
logansquare/databind,1364941.12,3906549.29,4108873.8,4335080.0
minimaljson/stream,1371105.149,2285374.35,2236869.3,1704493.0
mjson/stream,1034169.582,1086529.56,1079866.2,1020243.0
moshi/databind,2277300.887,2891501.21,2621567.1999999997,2683835.0
moshi/stream,2214748.508,2814393.89,2549787.1,2233863.0
nanojson/stream,250304.422,1521360.05,2488670.0,2339097.0
orgjson/stream,919196.238,978101.25,917882.5999999999,924923.0
purejson/stream,374183.489,439435.95,394959.5,311055.0
qson/databind,3043398.297,3871744.69,4063729.0999999996,3859675.0
quickbuf_json/databind,2535645.556,3146892.67,3965160.1999999997,2959709.0
tapestry/stream,2348661.913,2690526.18,2684615.1,2418794.0
underscore_java/stream,2379848.555,2522323.51,2605956.8,1990681.0
wast/databind,7436185.893,8175446.600000001,8518951.0,8261873.0
yasson/databind,1356635.055,2091079.52,2169222.0,2070670.0
