Test,1kb (x1),10kb (x10),100kb (x100),1000kb (x1000)
antons/stream,780820.203,844571.75,733380.8,529017.0
avajejsonb/databind,5045991.114,6492776.949999999,7026210.899999999,6371096.0
avajejsonb_jackson/databind,6002553.61,6881013.63,6814084.9,6423441.0
djomo/databind,6925871.478,7090555.05,7095497.100000001,7105033.0
dsljson/databind,6609769.024,9185114.64,9217270.0,9166166.0
dsljson_reflection/databind,4289020.685,4207457.85,4715664.899999999,4681679.0
fastjson/databind,13048532.351,14563954.14,14981189.9,14295924.0
fastjson_features/databind,12065878.003,15007268.62,15329018.4,14112844.0
flexjson/databind,4267.772,12034.16,40281.4,131299.0
foryjson/databind,14883740.299,21676803.36,22871249.400000002,22303908.0
genson/databind,2932012.318,4906767.99,5006003.0,5083800.0
genson/stream,2401250.122,4186092.97,4573425.5,4862645.0
gson/databind,3261497.256,3506660.48,3657693.5,3649287.0
gson/stream,920116.089,975873.98,987280.1,965622.0
jackson/databind,5225323.342,6137742.99,5406671.899999999,5027155.0
jackson/stream,5855195.665,6272689.89,5944964.8,5564505.0
jackson_afterburner/databind,5182478.635,6005707.33,6192694.600000001,5530307.0
jackson_blackbird/databind,5226054.964,6305684.33,6150993.3,5581537.0
jakartajson/stream,3561429.708,4526972.21,4971232.4,3860246.0
jodd/databind,1097225.263,1209885.93,1030536.8,931156.0
johnzon/databind,2621770.432,3327231.59,2786883.5,2847420.0
jsonio/databind,764642.767,2225852.63,2016359.9999999998,2149240.0
jsonio/stream,767811.059,2494392.08,2111291.4,2095348.0
jsonsimple/stream,643433.421,702939.23,603191.9,609070.0
jsonsmart/databind,2212044.137,3115980.4499999997,1925363.1,2429194.0
kotlinx_serialization/databind,3326916.618,6904462.7,3720459.1,3884509.0
logansquare/databind,5671667.941,6299548.73,4221135.2,4329087.0
minimaljson/stream,3325734.147,3476006.02,2556745.4000000004,2187469.0
mjson/stream,763242.977,725882.5900000001,708912.4,554014.0
moshi/databind,2384846.072,2571314.08,2581645.9,2577769.0
moshi/stream,2694779.776,2749485.9899999998,2902563.4,2843853.0
nanojson/stream,2422598.802,3666953.7,2444001.9,2397129.0
orgjson/stream,1081808.508,1138288.5,1039008.2000000001,974766.0
purejson/stream,356744.03,320933.32999999996,236606.7,48923.0
qson/databind,4389885.318,4858055.99,5109317.100000001,4985448.0
quickbuf_json/databind,10862830.348,10663980.930000002,10777387.4,10502348.0
tapestry/stream,741473.105,749912.8,680481.5,582591.0
underscore_java/stream,1447232.837,1142411.56,1073190.8,848487.0
wast/databind,19125496.907,22414019.23,23238812.8,20655679.0
yasson/databind,1736985.332,2362817.9,2510156.2,2426052.0
